_id,順位,選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS
89,1,山川　穂高,西武,0.275,73,327,273,75,27,67,0,43,9,81,0,5,0.388,0.612,1
47,2,ソト,DeNA,0.238,71,290,260,62,23,52,0,26,2,49,0,7,0.31,0.527,0.837
92,3,坂本　勇人,巨人,0.304,71,324,286,87,22,51,4,35,1,71,1,8,0.381,0.563,0.944
74,4,レアード,ロッテ,0.277,72,298,260,72,21,51,0,32,4,62,0,6,0.362,0.565,0.928
36,5,山田　哲人,ヤクルト,0.273,75,345,267,73,20,46,17,70,4,63,0,9,0.426,0.558,0.984
52,6,村上　宗隆,ヤクルト,0.23,76,308,265,61,19,56,3,39,2,95,0,3,0.331,0.502,0.833
30,6,ブラッシュ,楽天,0.288,65,264,212,61,19,57,0,40,10,68,0,5,0.42,0.613,1.034
4,8,鈴木　誠也,広島,0.308,72,314,250,77,18,51,13,57,4,48,0,1,0.439,0.564,1.003
28,8,バティスタ,広島,0.28,75,296,264,74,18,43,0,26,3,67,0,6,0.348,0.523,0.871
31,10,松田　宣浩,ソフトバンク,0.291,75,311,289,84,17,47,3,15,3,53,1,8,0.329,0.526,0.855
29,10,デスパイネ,ソフトバンク,0.265,74,294,249,66,17,42,0,41,3,61,0,4,0.374,0.494,0.868
22,12,浅村　栄斗,楽天,0.291,73,332,278,81,16,43,0,49,1,86,0,2,0.395,0.511,0.905
90,12,中田　翔,日本ハム,0.253,74,307,261,66,16,50,0,40,5,48,0,8,0.362,0.475,0.837
66,12,筒香　嘉智,DeNA,0.293,69,287,242,71,16,39,0,44,1,79,0,0,0.404,0.554,0.958
75,12,グラシアル,ソフトバンク,0.328,53,216,198,65,16,35,1,13,4,43,0,5,0.38,0.621,1.001
23,16,岡本　和真,巨人,0.26,71,313,285,74,15,44,2,25,2,67,0,7,0.323,0.46,0.782
37,16,ロペス,DeNA,0.246,73,308,285,70,15,37,0,19,3,58,0,8,0.299,0.463,0.762
61,16,バレンティン,ヤクルト,0.281,61,249,221,62,15,44,0,27,0,62,0,7,0.357,0.511,0.869
50,19,外崎　修汰,西武,0.26,73,317,265,69,14,50,15,32,3,64,11,5,0.34,0.475,0.815
21,20,大田　泰示,日本ハム,0.286,74,340,318,91,13,49,4,17,2,64,0,11,0.324,0.478,0.802
46,20,丸　佳浩,巨人,0.307,71,318,270,83,13,42,7,43,2,59,0,8,0.403,0.519,0.921
6,20,吉田　正尚,オリックス,0.287,74,311,258,74,13,39,5,47,3,44,0,4,0.399,0.488,0.887
57,20,ウィーラー,楽天,0.258,72,310,271,70,13,47,1,26,6,54,0,17,0.329,0.443,0.772
12,20,中村　剛也,西武,0.264,69,280,246,65,13,58,0,32,1,62,0,8,0.35,0.467,0.817
0,25,秋山　翔吾,西武,0.324,73,347,299,97,12,34,8,46,1,52,0,5,0.415,0.505,0.92
65,25,鈴木　大地,ロッテ,0.306,69,291,255,78,12,45,3,24,5,35,6,5,0.375,0.529,0.905
51,25,井上　晴哉,ロッテ,0.251,58,237,199,50,12,31,0,32,5,42,0,4,0.367,0.467,0.834
73,28,中村　奨吾,ロッテ,0.238,72,302,260,62,11,38,9,30,9,46,1,5,0.336,0.408,0.743
33,29,大山　悠輔,阪神,0.263,75,333,312,82,10,46,2,15,4,51,0,5,0.303,0.42,0.723
81,29,青木　宣親,ヤクルト,0.296,73,318,270,80,10,29,1,41,4,41,1,6,0.394,0.467,0.861
67,29,宮﨑　敏郎,DeNA,0.266,73,306,278,74,10,34,0,22,1,25,0,10,0.317,0.439,0.756
62,29,ビシエド,中日,0.299,72,302,271,81,10,44,1,19,11,47,0,10,0.368,0.472,0.84
39,33,今宮　健太,ソフトバンク,0.271,61,260,236,64,9,25,3,20,2,40,2,1,0.333,0.415,0.749
10,34,茂木　栄五郎,楽天,0.302,72,337,298,90,8,34,5,35,2,59,2,5,0.379,0.473,0.852
5,34,内川　聖一,ソフトバンク,0.246,71,275,256,63,8,20,2,15,1,30,1,10,0.288,0.379,0.667
13,34,甲斐　拓也,ソフトバンク,0.25,74,258,216,54,8,28,7,29,1,67,11,7,0.34,0.403,0.743
77,34,會澤　翼,広島,0.277,63,227,195,54,8,33,2,25,5,41,2,1,0.373,0.472,0.845
44,34,ゲレーロ,巨人,0.211,49,157,142,30,8,18,1,13,2,28,0,3,0.287,0.437,0.723
53,34,ロメロ,オリックス,0.27,36,146,126,34,8,25,2,15,3,41,0,1,0.356,0.5,0.856
45,40,梅野　隆太郎,阪神,0.282,73,301,266,75,7,34,8,20,5,49,9,14,0.342,0.436,0.779
15,40,森　友哉,西武,0.335,69,286,239,80,7,48,3,42,1,45,0,4,0.43,0.51,0.941
20,40,ビヤヌエバ,巨人,0.211,49,160,142,30,7,19,0,15,2,37,0,4,0.294,0.394,0.688
69,40,福田　永将,中日,0.236,51,148,127,30,7,23,0,17,2,32,0,5,0.331,0.441,0.772
91,44,近本　光司,阪神,0.264,74,330,299,79,6,24,18,20,2,60,9,0,0.315,0.385,0.699
41,44,神里　和毅,DeNA,0.306,71,297,278,85,6,22,9,17,0,80,2,2,0.346,0.478,0.824
79,44,高橋　周平,中日,0.316,72,295,269,85,6,46,2,19,2,45,4,7,0.364,0.498,0.862
68,44,渡邉　諒,日本ハム,0.251,64,263,227,57,6,31,0,30,4,59,0,4,0.346,0.392,0.738
49,44,亀井　善行,巨人,0.269,64,229,201,54,6,31,6,25,0,40,0,2,0.345,0.438,0.783
32,44,伊藤　光,DeNA,0.241,57,202,174,42,6,20,3,25,0,34,2,2,0.335,0.374,0.709
85,44,マルテ,阪神,0.27,43,170,148,40,6,26,0,17,3,35,0,3,0.353,0.426,0.779
25,44,上林　誠知,ソフトバンク,0.188,44,155,138,26,6,17,6,13,2,36,1,2,0.266,0.37,0.636
54,52,菊池　涼介,広島,0.271,75,341,299,81,5,30,7,24,1,52,15,2,0.325,0.391,0.716
14,52,島内　宏明,楽天,0.25,67,302,264,66,5,32,1,30,5,36,2,6,0.337,0.337,0.674
84,52,荻野　貴司,ロッテ,0.336,64,285,250,84,5,25,17,22,5,31,6,2,0.398,0.516,0.914
38,52,雄平,ヤクルト,0.276,69,275,243,67,5,34,0,25,1,42,1,2,0.339,0.379,0.718
48,52,西川　龍馬,広島,0.278,70,269,245,68,5,35,2,12,1,31,6,4,0.308,0.4,0.708
64,52,角中　勝也,ロッテ,0.21,46,194,162,34,5,22,1,28,1,23,1,6,0.326,0.364,0.691
63,52,平田　良介,中日,0.293,43,190,167,49,5,21,1,18,3,21,0,1,0.368,0.473,0.841
55,52,清田　育宏,ロッテ,0.277,55,182,159,44,5,26,1,22,1,40,0,3,0.368,0.415,0.783
9,60,糸井　嘉男,阪神,0.303,74,325,274,83,4,28,6,45,4,49,0,5,0.406,0.409,0.815
18,60,福留　孝介,阪神,0.242,56,212,186,45,4,25,0,22,1,41,1,2,0.322,0.366,0.688
76,60,釜元　豪,ソフトバンク,0.243,63,156,144,35,4,11,8,10,0,46,2,2,0.292,0.354,0.646
72,60,西浦　直亨,ヤクルト,0.246,38,136,126,31,4,18,0,8,1,32,1,6,0.296,0.405,0.701
60,60,陽　岱鋼,巨人,0.298,56,135,121,36,4,14,0,13,1,37,0,7,0.37,0.463,0.833
43,60,メネセス,オリックス,0.206,29,118,102,21,4,14,0,13,0,28,0,3,0.288,0.363,0.651
86,66,田中　広輔,広島,0.201,73,308,273,55,3,24,8,27,2,75,3,3,0.275,0.278,0.554
17,66,大城　滉二,オリックス,0.274,73,272,241,66,3,23,9,20,4,41,7,3,0.34,0.382,0.721
3,66,栗山　巧,西武,0.249,67,254,221,55,3,28,0,28,2,50,1,6,0.336,0.33,0.666
27,66,中村　悠平,ヤクルト,0.275,72,251,204,56,3,16,0,31,5,26,10,4,0.382,0.397,0.779
87,66,王　柏融,日本ハム,0.29,61,250,224,65,3,31,1,20,3,43,0,4,0.352,0.384,0.736
34,66,木村　文紀,西武,0.215,63,198,181,39,3,18,8,10,1,48,6,3,0.26,0.315,0.575
71,66,安部　友裕,広島,0.253,58,162,146,37,3,13,3,12,1,31,2,4,0.313,0.37,0.682
88,66,大城　卓三,巨人,0.287,55,155,143,41,3,16,0,9,2,40,1,1,0.338,0.406,0.743
83,74,西川　遥輝,日本ハム,0.297,74,348,296,88,2,24,13,47,1,60,4,2,0.395,0.405,0.801
19,74,京田　陽太,中日,0.259,70,287,259,67,2,18,12,18,0,49,10,2,0.307,0.328,0.635
35,74,阿部　寿樹,中日,0.263,60,215,194,51,2,26,0,17,1,41,2,2,0.324,0.34,0.664
24,74,木浪　聖也,阪神,0.26,64,211,192,50,2,19,1,15,1,42,3,3,0.317,0.365,0.682
40,74,辰己　涼介,楽天,0.244,57,210,176,43,2,18,7,27,1,57,4,1,0.345,0.335,0.68
70,74,太田　賢吾,ヤクルト,0.252,42,155,135,34,2,12,0,12,1,43,6,2,0.315,0.326,0.641
80,74,小島　脩平,オリックス,0.261,54,147,134,35,2,9,4,10,0,22,2,1,0.31,0.343,0.654
58,74,小田　裕也,オリックス,0.223,39,133,121,27,2,12,8,6,3,28,1,0,0.273,0.314,0.587
59,74,田村　龍弘,ロッテ,0.245,42,126,110,27,2,10,1,8,0,22,8,2,0.297,0.336,0.633
8,74,明石　健志,ソフトバンク,0.208,43,121,101,21,2,8,1,17,0,26,2,2,0.319,0.356,0.676
11,74,長野　久義,広島,0.208,49,117,106,22,2,7,0,10,0,28,0,6,0.274,0.321,0.594
1,85,金子　侑司,西武,0.226,72,305,266,60,1,20,26,35,1,54,1,0,0.316,0.263,0.579
7,85,銀次,楽天,0.294,72,300,265,78,1,23,1,30,3,25,2,8,0.372,0.366,0.739
42,85,野間　峻祥,広島,0.256,73,285,258,66,1,11,10,19,4,45,3,2,0.316,0.326,0.641
56,85,福田　周平,オリックス,0.251,66,285,247,62,1,15,15,28,3,29,7,2,0.335,0.308,0.642
82,85,中川　圭太,オリックス,0.324,52,191,179,58,1,19,2,8,0,22,2,5,0.349,0.436,0.785
26,85,若月　健矢,オリックス,0.178,70,182,157,28,1,8,2,10,1,44,14,1,0.232,0.229,0.461
78,85,西浦　颯大,オリックス,0.191,49,150,136,26,1,12,6,9,0,34,4,0,0.24,0.235,0.475
16,85,山本　泰寛,巨人,0.259,51,136,116,30,1,8,2,15,1,30,4,1,0.348,0.371,0.719
2,85,髙山　俊,阪神,0.292,44,116,106,31,1,10,4,8,1,19,1,1,0.348,0.368,0.716
