_id,順位,選手名,チーム,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
271,1,レグナルト,広島,0.3,27,4,0,0,5,1,123,30.1,15,1,17,0,30,4,1,1.05,2.96
270,3,山﨑　康晃,DeNA,0.86,22,1,1,11,0,0.5,88,21,17,1,7,0,18,7,2,1.14,2.88
243,4,中村　恭平,広島,0.89,16,0,0,0,3,0,73,20.1,8,1,5,0,24,2,2,0.64,2.14
255,5,藤川　球児,阪神,1.23,21,4,0,0,11,1,92,22,11,2,17,0,34,3,3,1.27,3.26
260,6,田中　靖洋,ロッテ,1.29,22,2,0,0,2,1,85,21,17,1,8,2,14,3,3,1.19,3.69
288,7,モイネロ,ソフトバンク,1.33,28,0,1,2,12,0,106,27,14,2,8,4,40,7,4,0.81,2.45
226,8,Ｒ．マルティネス,中日,1.37,20,0,1,1,11,0,78,19.2,12,1,6,2,24,4,3,0.92,2.56
415,9,増田　達至,西武,1.42,28,3,0,10,5,1,120,31.2,20,2,5,0,27,5,5,0.79,2.61
210,10,千賀　滉大,ソフトバンク,1.46,11,6,1,0,0,0.857,319,80,54,4,29,1,105,14,13,1.04,2.27
207,11,中川　皓太,巨人,1.55,27,2,1,7,8,0.667,114,29,23,0,5,1,32,6,5,0.97,1.53
342,12,松井　裕樹,楽天,1.57,33,1,2,20,6,0.333,126,34.1,14,3,9,1,57,7,6,0.67,1.72
130,12,一岡　竜司,広島,1.57,24,0,0,0,13,0,95,23,19,1,7,1,16,4,4,1.13,3.34
152,14,山本　由伸,オリックス,1.63,10,3,3,0,0,0.5,274,71.2,45,3,19,3,61,17,13,0.89,2.88
277,15,松田　遼馬,ソフトバンク,1.64,19,0,1,0,1,0,91,22,19,2,9,0,21,4,4,1.27,3.62
418,16,ドリス,阪神,1.65,27,3,1,13,3,0.75,100,27.1,15,1,6,0,26,6,5,0.77,2.35
380,17,秋吉　亮,日本ハム,1.69,26,0,2,12,5,0,101,26.2,15,2,7,0,20,5,5,0.83,3.27
324,18,有原　航平,日本ハム,1.8,10,7,2,0,0,0.778,265,70,45,6,12,3,74,16,14,0.81,2.76
299,18,高梨　雄平,楽天,1.8,29,2,1,0,10,0.667,85,20,11,0,14,0,26,4,4,1.25,2.47
469,20,今永　昇太,DeNA,1.9,11,6,3,0,0,0.667,320,80.1,54,7,29,2,85,18,17,1.03,3.11
106,21,平井　克典,西武,1.93,33,1,1,0,15,0.5,155,37.1,28,0,18,3,36,8,8,1.23,2.72
171,22,大瀬良　大地,広島,2,11,6,2,0,0,0.75,318,81,71,5,11,1,75,19,18,1.01,2.52
467,22,塩見　貴洋,楽天,2,4,3,0,0,0,1,100,27,20,4,4,0,24,6,6,0.89,3.71
376,24,五十嵐　亮太,ヤクルト,2.05,27,5,0,0,2,1,115,26.1,22,1,13,0,20,7,6,1.33,3.58
146,24,宮西　尚生,日本ハム,2.05,26,1,1,0,21,0.5,85,22,15,0,4,2,22,6,5,0.86,1.94
115,26,チェン・グァンユウ,ロッテ,2.25,18,0,0,0,3,0,104,24,19,0,11,0,18,10,6,1.25,2.75
83,27,西　勇輝,阪神,2.31,11,3,5,0,0,0.375,314,78,65,3,16,4,51,24,20,1.04,3.04
250,28,大竹　耕太郎,ソフトバンク,2.35,10,3,2,0,0,0.6,275,69,67,5,8,2,44,20,18,1.09,3.18
458,29,榊原　翼,オリックス,2.37,10,3,3,0,0,0.5,266,64.2,49,3,31,2,47,20,17,1.24,3.8
451,30,髙橋　遥人,阪神,2.42,4,1,0,0,0,1,98,22.1,21,1,8,0,25,9,6,1.3,2.54
215,31,玉井　大翔,日本ハム,2.45,23,0,1,0,2,0,109,25.2,23,1,12,0,15,8,7,1.36,3.86
155,32,甲斐野　央,ソフトバンク,2.49,24,1,1,0,13,0.5,92,21.2,17,3,11,1,28,6,6,1.29,4
362,33,山口　俊,巨人,2.5,11,5,2,0,0,0.714,292,68.1,58,3,32,7,72,21,19,1.32,3.25
234,33,濵口　遥大,DeNA,2.5,8,3,3,0,1,0.5,165,39.2,28,4,17,2,42,15,11,1.13,3.75
223,35,森　唯斗,ソフトバンク,2.54,29,2,3,17,4,0.4,117,28.1,23,2,8,1,33,8,8,1.09,2.56
218,36,岸　孝之,楽天,2.59,4,2,0,0,0,1,92,24.1,15,5,4,0,23,7,7,0.78,4.39
198,37,青柳　晃洋,阪神,2.64,10,4,4,0,0,0.5,250,61.1,56,8,16,3,43,23,18,1.17,4.34
143,38,近藤　大亮,オリックス,2.66,24,2,3,0,9,0.4,94,23.2,15,1,11,0,31,7,7,1.1,2.32
85,40,青山　浩二,楽天,2.7,25,1,2,0,7,0.333,91,23.1,14,4,9,0,22,7,7,0.99,4.23
125,41,岩下　大輝,ロッテ,2.74,9,2,1,0,0,0.667,210,49.1,40,5,24,2,45,18,15,1.3,4.19
176,42,高木　京介,巨人,2.75,21,1,0,0,5,1,79,19.2,18,3,4,0,22,6,6,1.12,3.48
434,42,笠原　祥太郎,中日,2.75,4,2,0,0,0,1,84,19.2,15,0,12,0,15,6,6,1.37,3.43
138,44,床田　寛樹,広島,2.77,11,5,3,0,0,0.625,286,68.1,61,8,25,2,55,26,21,1.26,4.09
347,45,菊池　保則,広島,2.78,20,1,1,0,2,0.5,97,22.2,15,2,13,0,17,9,7,1.24,4.22
148,46,宋　家豪,楽天,2.79,30,1,2,0,19,0.333,125,29,24,2,17,0,23,12,9,1.41,4.09
205,47,ハフ,ヤクルト,2.81,31,1,1,0,10,0.5,133,32,27,2,12,0,31,12,10,1.22,2.93
453,48,フランスア,広島,2.86,28,4,2,1,12,0.667,119,28.1,19,3,13,3,38,9,9,1.13,3.3
405,49,堀　瑞輝,日本ハム,2.88,23,3,1,1,2,0.75,108,25,20,4,10,1,27,9,8,1.2,4.24
245,50,守屋　功輝,阪神,2.92,25,2,0,0,3,1,92,24.2,19,2,4,0,19,8,8,0.93,3.12
419,51,高橋　礼,ソフトバンク,2.95,9,6,1,0,0,0.857,238,58,42,5,25,4,26,20,19,1.16,4.84
397,52,Ｋ－鈴木,オリックス,2.97,7,1,3,0,0,0.25,177,39.1,37,4,20,2,34,20,13,1.45,4.39
47,53,大野　雄大,中日,2.99,10,3,4,0,0,0.429,290,72.1,58,12,18,0,77,25,24,1.05,3.89
285,54,ロメロ,中日,3,9,3,5,0,0,0.375,224,54,46,9,20,2,45,20,18,1.22,4.84
127,54,近藤　一樹,ヤクルト,3,28,2,0,0,10,1,123,27,23,2,20,0,28,10,9,1.59,3.9
456,56,中﨑　翔太,広島,3.04,27,2,2,8,3,0.5,127,26.2,30,3,13,2,21,17,9,1.61,4.7
185,57,森原　康平,楽天,3.09,24,0,0,0,7,0,96,23.1,18,2,8,0,23,9,8,1.11,3.29
293,58,今村　信貴,巨人,3.13,8,1,1,0,0,0.5,161,37.1,38,4,13,4,24,14,13,1.37,4.51
423,58,佐野　泰雄,西武,3.13,17,0,0,0,1,0,131,31.2,25,2,15,0,25,11,11,1.26,3.78
189,60,髙橋　優貴,巨人,3.25,8,3,3,0,0,0.5,184,44.1,35,9,21,3,35,17,16,1.26,5.8
470,60,梅野　雄吾,ヤクルト,3.25,26,0,1,4,10,0,114,27.2,25,3,7,0,35,12,10,1.16,2.76
195,62,東條　大樹,ロッテ,3.28,21,1,0,0,2,1,102,24.2,20,4,7,3,23,9,9,1.09,4.58
123,63,上沢　直之,日本ハム,3.31,10,5,2,0,0,0.714,286,65.1,67,4,26,1,57,33,24,1.42,3.36
209,65,石川　雅規,ヤクルト,3.35,9,2,3,0,0,0.4,187,45.2,46,9,4,1,32,19,17,1.09,4.61
331,66,山﨑　福也,オリックス,3.42,20,2,1,0,0,0.667,114,26.1,21,2,12,2,22,10,10,1.25,4.03
421,67,山岡　泰輔,オリックス,3.46,11,5,2,0,0,0.714,304,75.1,60,8,25,1,62,32,29,1.13,3.85
394,68,金子　弌大,日本ハム,3.56,13,3,3,0,1,0.5,204,48,46,6,19,0,31,24,19,1.35,4.64
303,68,加藤　貴之,日本ハム,3.56,13,3,4,0,1,0.429,175,43,34,4,12,1,31,17,17,1.07,3.79
227,70,メルセデス,巨人,3.57,10,5,3,0,0,0.625,248,58,65,6,19,1,42,25,23,1.45,4
242,70,種市　篤暉,ロッテ,3.57,13,3,1,0,2,0.75,179,40.1,45,3,18,0,40,19,16,1.56,3.44
475,72,柳　裕也,中日,3.58,11,6,2,0,0,0.75,300,70.1,71,7,21,1,60,29,28,1.31,3.6
241,73,岩田　稔,阪神,3.62,8,1,2,0,0,0.333,207,49.2,54,8,12,2,26,24,20,1.33,5.01
286,74,島本　浩也,阪神,3.65,25,0,0,1,2,0,102,24.2,20,4,7,2,25,10,10,1.09,4.3
217,76,アドゥワ　誠,広島,3.71,11,2,2,0,0,0.5,219,51,53,9,16,2,22,23,21,1.35,5.61
254,77,ブキャナン,ヤクルト,3.72,7,1,3,0,0,0.25,158,38.2,36,6,10,0,19,18,16,1.19,4.93
187,78,大貫　晋一,DeNA,3.73,8,3,3,0,0,0.5,182,41,47,3,14,1,31,17,17,1.49,3.44
433,79,阿知羅　拓馬,中日,3.74,4,1,2,0,0,0.333,84,21.2,15,6,9,0,13,9,9,1.11,6.63
204,80,マーティン,西武,3.8,21,2,3,1,4,0.4,106,21.1,21,1,16,4,18,12,9,1.73,4.71
116,81,二木　康太,ロッテ,3.84,10,4,4,0,0,0.5,251,61,59,7,14,1,58,26,26,1.2,3.45
55,82,マクガフ,ヤクルト,3.86,30,2,1,0,8,0.667,153,35,42,1,9,1,31,15,15,1.46,2.58
196,82,エスコバー,DeNA,3.86,30,1,1,0,12,0.5,122,30.1,24,4,8,2,39,13,13,1.05,3.25
263,82,秋山　拓巳,阪神,3.86,4,2,2,0,0,0.5,101,23.1,26,1,6,0,16,11,10,1.37,3.08
361,85,上茶谷　大河,DeNA,3.88,10,3,3,0,0,0.5,257,60.1,56,5,22,2,38,29,26,1.29,3.93
117,86,石橋　良太,楽天,3.89,14,3,3,0,0,0.5,166,39.1,37,7,11,3,24,18,17,1.22,5.28
258,87,西野　勇士,ロッテ,3.96,26,0,0,2,4,0,98,25,19,3,9,0,32,11,11,1.12,3.2
80,88,田口　麗斗,巨人,3.98,10,0,0,0,2,0,90,20.1,23,4,7,0,22,9,9,1.48,4.4
132,89,鈴木　博志,中日,4.03,23,0,2,14,1,0,102,22.1,24,1,13,2,14,10,10,1.66,4.46
442,90,三嶋　一輝,DeNA,4.13,26,1,2,0,4,0.333,123,28.1,25,4,17,0,25,13,13,1.48,4.78
343,90,酒居　知史,ロッテ,4.13,26,2,2,0,14,0.5,120,28.1,24,3,12,0,35,13,13,1.27,3.19
381,92,益田　直也,ロッテ,4.18,25,2,4,12,3,0.333,97,23.2,20,4,9,1,22,12,11,1.23,4.73
10,93,菅野　智之,巨人,4.22,9,6,3,0,0,0.667,253,59.2,61,14,13,1,54,32,28,1.24,5.06
431,94,美馬　学,楽天,4.23,11,5,3,0,0,0.625,273,66,66,10,8,1,49,33,31,1.12,4.01
108,95,髙橋　光成,西武,4.25,10,6,4,0,0,0.6,268,59.1,67,7,22,7,47,37,28,1.5,4.49
278,95,辛島　航,楽天,4.25,10,4,3,0,0,0.571,238,55,54,6,21,0,41,26,26,1.36,4.19
9,97,井納　翔一,DeNA,4.26,7,3,2,0,0,0.6,142,31.2,32,1,14,2,24,20,15,1.45,3.34
88,98,岩貞　祐太,阪神,4.28,5,1,3,0,0,0.25,121,27.1,32,3,11,0,20,14,13,1.57,4.29
409,99,メッセンジャー,阪神,4.31,10,3,5,0,0,0.375,269,64.2,55,8,29,2,44,34,31,1.3,4.81
446,100,涌井　秀章,ロッテ,4.45,11,3,4,0,0,0.429,286,64.2,77,8,17,2,53,34,32,1.45,3.97
59,101,今井　達也,西武,4.48,10,4,5,0,0,0.444,287,64.1,63,8,38,2,48,40,32,1.57,5.11
262,102,原　樹理,ヤクルト,4.61,11,3,6,0,0,0.333,297,68.1,76,7,18,5,53,39,35,1.38,3.87
354,103,増井　浩俊,オリックス,4.63,24,0,1,17,3,0,100,23.1,23,2,5,1,29,14,12,1.2,2.52
307,104,九里　亜蓮,広島,4.65,12,2,3,0,3,0.4,136,31,29,5,14,1,33,17,16,1.39,4.54
82,105,ボルシンガー,ロッテ,4.66,9,1,3,0,0,0.25,206,46.1,46,11,26,2,38,27,24,1.55,6.38
188,106,武田　翔太,ソフトバンク,4.73,18,3,3,1,4,0.5,207,45.2,48,1,22,4,42,29,24,1.53,3.27
197,107,古川　侑利,楽天,4.74,7,1,2,0,0,0.333,162,38,34,6,17,0,31,20,20,1.34,4.88
280,107,東　克樹,DeNA,4.74,5,3,2,0,0,0.6,115,24.2,31,3,10,1,21,14,13,1.66,4.21
7,109,澤田　圭佑,オリックス,4.79,22,2,2,0,15,0.5,99,20.2,23,2,13,0,13,11,11,1.74,4.57
275,110,野村　祐輔,広島,4.83,11,3,3,0,0,0.5,242,54,61,2,19,2,30,35,29,1.48,3.6
199,111,ヤングマン,巨人,4.85,8,3,2,0,0,0.6,173,39,37,8,21,3,25,21,21,1.49,6.35
387,112,十亀　剣,西武,4.86,7,3,1,0,0,0.75,142,33.1,31,3,11,2,24,19,18,1.26,4.02
416,113,ミランダ,ソフトバンク,5.02,9,3,3,0,0,0.5,196,43,44,8,27,1,25,25,24,1.65,6.33
443,114,石川　歩,ロッテ,5.12,10,3,3,0,0,0.5,253,58,68,7,12,3,35,34,33,1.38,4.21
358,114,上原　健太,日本ハム,5.12,10,1,3,0,0,0.25,163,38.2,42,6,7,0,24,25,22,1.27,4.44
236,116,小川　泰弘,ヤクルト,5.16,11,1,8,0,0,0.111,300,68,76,10,16,0,52,45,39,1.35,4.21
166,116,山井　大介,中日,5.16,6,2,2,0,0,0.5,130,29.2,31,7,11,1,22,17,17,1.42,5.92
38,118,本田　圭佑,西武,5.2,5,2,2,0,0,0.5,119,27.2,28,6,12,2,19,17,16,1.45,6.08
219,119,清水　達也,中日,5.24,5,2,1,0,0,0.667,106,22.1,23,3,18,1,16,15,13,1.84,5.85
473,120,バーベイト,日本ハム,5.25,10,2,2,0,0,0.5,106,24,24,5,11,1,19,14,14,1.46,5.75
306,121,国吉　佑樹,DeNA,5.53,19,2,2,0,2,0.5,118,27.2,24,4,11,0,29,17,17,1.27,4.1
183,122,松葉　貴大,オリックス,5.56,5,0,4,0,0,0,104,22.2,26,3,9,3,13,16,14,1.54,5.15
386,123,田島　慎二,中日,5.66,20,0,1,0,5,0,87,20.2,17,4,6,2,21,13,13,1.11,4.77
206,124,安樂　智大,楽天,5.68,5,0,2,0,0,0,106,25.1,25,4,8,2,12,17,16,1.3,5.41
338,125,福井　優也,楽天,5.7,7,3,1,0,0,0.75,140,30,30,3,23,2,16,19,19,1.77,5.85
291,126,多和田　真三郎,西武,5.77,9,1,3,0,0,0.25,237,53,61,6,19,5,29,34,34,1.51,4.86
388,127,高梨　裕稔,ヤクルト,5.87,9,4,4,0,0,0.5,207,46,49,9,19,3,53,30,30,1.48,4.79
25,128,ニール,西武,5.95,4,1,1,0,0,0.5,93,19.2,28,2,5,2,9,17,13,1.68,4.59
128,129,松本　航,西武,6.1,4,1,1,0,0,0.5,96,20.2,22,4,12,0,9,14,14,1.65,6.36
68,130,アルバース,オリックス,6.11,7,1,2,0,0,0.333,155,35.1,44,9,6,2,21,26,24,1.42,5.92
102,131,榎田　大樹,西武,6.19,6,2,2,0,0,0.5,144,32,40,8,8,3,18,24,22,1.5,6.28
71,132,京山　将弥,DeNA,6.33,7,0,4,0,0,0,132,27,36,2,19,0,20,21,19,2.04,4.71
441,133,東浜　巨,ソフトバンク,6.37,7,2,2,0,0,0.5,158,35.1,36,5,23,1,26,26,25,1.67,5.53
39,134,ガルシア,阪神,6.83,6,2,2,0,0,0.5,145,29,45,3,14,0,21,27,22,2.03,4.36
35,135,又吉　克樹,中日,6.86,11,1,3,0,3,0.25,88,19.2,20,3,12,0,16,15,15,1.63,5.31
289,136,高橋　奎二,ヤクルト,7.11,7,0,2,0,0,0,149,31.2,33,6,20,2,30,27,25,1.67,5.68
